,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
37,상담/Noun,받다/Verb,사/Noun,먹다/Verb,맛있다/Adjective,자꾸/Noun,생각나다/Verb,맛/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,하다/Verb,번/Noun,가보다/Verb,만/Noun,카페/Noun,작/Noun,야외/Noun,석도/Noun,있다/Adjective,좋다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,포장/Noun,하다/Verb,이렇게/Adverb,이쁘다/Adjective,박스/Noun,담기다/Verb,나오다/Verb,요/Noun,레몬/Noun,슈거/Noun,도넛/Noun,추천/Noun,하다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,좋다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,주문/Noun,하다/Verb,때/Noun,줄이다/Verb,두/Noun,개/Noun,헷갈리다/Adjective,또/Noun,도넛/Noun,종류/Noun,적히다/Verb,메뉴판/Noun,하나/Noun,있다/Adjective,좋다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,맛있다/Adjective,집/Noun,오다/Verb,때/Noun,또/Noun,포장/Noun,해오다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,넓다/Adjective,데/Noun,이사해/Noun,자리/Noun,훨씬/Adverb,넓다/Adjective,웨이팅/Noun,거의/Noun,없다/Adjective,좋다/Adjective,도넛/Noun,맛있다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,도넛/Noun,맛있다/Adjective,근데/Adverb,여러/Noun,가지/Noun,도넛/Noun,시키다/Verb,하다/Verb,초코/Noun,시키다/Verb,라즈베리/Noun,나오다/Verb,나누다/Verb,먹다/Verb,칼/Noun,자르다/Verb,나서다/Verb,확인/Noun,하다/Verb,그냥/Noun,먹다/Verb,하다/Verb,엥/Exclamation,확인/Noun,좀/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,오픈/Noun,키친/Noun,옷/Noun,개인/Noun,사복/Noun,마스크/Noun,안/Noun,하다/Verb,위생/Noun,모자/Noun,위생/Noun,장갑/Noun,착용/Noun,안/Noun,하다/Verb,손/Noun,크림/Noun,만지다/Verb,대다/Verb,남/Noun,성분/Noun,도대체/Noun,뭐/Noun,도/Noun,넛/Noun,먹다/Verb,그/Noun,모습/Noun,보고/Noun,기분/Noun,속도/Noun,다/Adverb,망치다/Verb,너무/Adverb,비위생적/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,인기/Noun,많다/Adjective,넓다/Adjective,루/Noun,이/Noun,사하다/Verb,더/Noun,요/Noun,종류/Noun,별로/Noun,다/Adverb,먹다/Verb,보다/Verb,않다/Verb,도넛/Noun,맛있다/Adjective,사람/Noun,많다/Adjective,게/Noun,흠/Noun,듯/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,별개/Noun,이하/Noun,리뷰/Noun,정확하다/Adjective,시장/Noun,도넛/Noun,마케팅/Noun,힘/Noun,동네/Noun,카페/Noun,등등/Noun,다/Adverb,맞다/Verb,말/Noun,임기/Noun,사서/Noun,먹다/Verb,아무리/Adverb,먹다/Verb,시장/Noun,꽈배기/Noun,크림/Noun,버터/Noun,잼/Noun,발라/Noun,먹다/Verb,맛/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,최고/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,최고/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,카페/Noun,들어가다/Verb,분/Noun,정도/Noun,웨이/Noun,팅/Noun,하다/Verb,후/Noun,살/Noun,수/Noun,있다/Adjective,넛/Noun,대기/Noun,인원/Noun,홀/Noun,워낙/Noun,사람/Noun,많다/Adjective,보다/Verb,정신/Noun,없다/Adjective,하다/Verb,그렇지만/Conjunction,그만큼/Adverb,기다리다/Verb,값/Noun,어치/Noun,하다/Verb,곳/Noun,솔직하다/Adjective,너무/Adverb,맛있다/Adjective,자꾸/Noun,생각나다/Verb,앞/Noun,서울/Noun,갈다/Verb,때/Noun,들리다/Verb,싶다/Verb,곳/Noun,지점/Noun,지방/Noun,특히/Adverb,천안/Noun,생기다/Verb,좋다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,크림/Noun,맛있다/Adjective,빵/Noun,퍼/Noun,퍼/PreEomi,석/Noun,느낌/Noun,도넛/Noun,진열/Noun,하다/Verb,공간/Noun,너무/Adverb,작다/Adjective,품절/Noun,속도/Noun,너무/Adverb,빨르다/Adjective,매장/Noun,너무/Adverb,시끄럽다/Adjective,솔직하다/Adjective,맛/Noun,브랜딩/Noun,잘/VerbPrefix,하다/Verb,유명하다/Adjective,것/Noun,같다/Adjective,귀엽다/Adjective,아기자기하다/Adjective,색감/Noun,캐릭터/Noun,폰트/Noun,다/Adverb,살리다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,말/Noun,하다/Verb,뭐/Noun,해/Noun,이다/Adjective,최고/Noun,디저트/Noun,폭/Noun,신한/Noun,도넛/Noun,식감/Noun,차다/Verb,좋다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,먹다/Verb,또/Noun,먹다/Verb,포장/Noun,너/Modifier,모/Noun,맛있다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,초코/Noun,선더/Noun,주니어/Noun,케이크/Noun,정말/Noun,최강/Noun,것/Noun,같다/Adjective,이전/Noun,매장/Noun,더/Noun,예쁘다/Adjective,쾌적하다/Adjective,완전/Noun,마음/Noun,쏙/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,싸다/Verb,기름/Noun,튀기다/Verb,도넛/Noun,맛/Noun,직원/Noun,친절하다/Adjective,진짜/Noun,별로/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,사람/Noun,많다/Adjective,들어가다/Verb,보이다/Verb,여자/Noun,직원/Noun,너무/Adverb,친절하다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,던킨/Noun,상위/Noun,버전/Noun,포장/Noun,꼭/Noun,박스/Noun,여야/Noun,하다/Verb,대해/Noun,박스/Noun,원/Noun,별도/Noun,구매/Noun,하야/Noun,함/Noun,특별하다/Adjective,맛/Noun,모르다/Verb,마케팅/Noun,이렇게/Adverb,또/Noun,낚임/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,그냥/Noun,던킨/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,우유/Noun,생크림/Noun,맛있다/Adjective,카야/Noun,베리/Noun,맛/Noun,맛있다/Adjective,베리/Noun,엄청/Adverb,상큼/Noun,하다/Verb,평점/Noun,쓰다/Verb,먹다/Verb,싶다/Verb,기분/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,여기/Noun,도넛/Noun,던킨/Noun,이렇다/Adjective,거/Noun,달라/Noun,하나/Noun,안/Noun,느끼하다/Adjective,진짜/Noun,맛있다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,우유/Noun,생크림/Noun,도넛/Noun,맛있다/Adjective,줄/Noun,서서/Noun,먹다/Verb,정돈/Noun,아니다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,이/Noun,과연/Noun,줄/Noun,서서/Noun,먹다/Verb,만/Noun,가다/Verb,매우/Noun,의문/Noun,스럽다/Adjective,움/Noun,살구/Noun,로즈메리/Noun,안/Noun,필링/Noun,거의/Noun,없다/Adjective,하다/Verb,그냥/Noun,원/Noun,짜다/Verb,꽈배기/Noun,먹다/Verb,기분/Noun,들다/Verb,니/Noun,멀다/Adjective,지다/Verb,다/Adverb,우리/Noun,던킨도너츠/Noun,도/Noun,먹다/Verb,수/Noun,있다/Adjective,맛/Noun,굳이/Noun,점/Noun,더/Noun,주다/Verb,상자/Noun,예쁘다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,진짜/Noun,녹다/Verb,크루아상/Noun,진짜/Noun,맛있다/Adjective,약간/Noun,오설록/Noun,맛/Noun,제조/Noun,맛/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,좋다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,알다/Verb,동생/Noun,맛있다/Adjective,대서/Noun,먹다/Verb,응/Noun,이/Noun,정말/Noun,맛있다/Adjective,건가/Noun,안/Noun,크림/Noun,느끼하다/Adjective,별로/Noun,종류/Noun,별로/Noun,먹다/Verb,보다/Verb,별로/Noun,근/Modifier,데/Noun,산/Noun,공원/Noun,돌다/Verb,보다/Verb,다/Adverb,들다/Verb,여기/Noun,빵/Noun,비닐/Noun,들다/Verb,다니다/Verb,마케팅/Noun,승리/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,나쁘다/Adjective,않다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,도넛/Noun,맛있다/Adjective,분위기/Noun,좋다/Adjective,용동/Noun,자주/Noun,가다/Verb,굳이/Noun,멀리/Noun,오다/Verb,건/Noun,아니다/Adjective,그냥/Noun,동네/Noun,카페/Noun,자주/Noun,가기/Noun,최고/Noun,요/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,좋다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,점주/Noun,싶다/Verb,그렇다/Adjective,못/VerbPrefix,하다/Verb,좀/Noun,주다/Verb,진짜/Noun,도넛/Noun,종류/Noun,다/Adverb,떨어지다/Verb,공지/Noun,하다/Verb,하다/Verb,게/Noun,맞다/Verb,그렇다/Adjective,것/Noun,없다/Adjective,포장/Noun,해오다/Verb,넛/Noun,잘못/Noun,담다/Verb,솔직하다/Adjective,왜/Noun,그렇게/Adverb,유명하다/Adjective,모르다/Verb,개별/Noun,다/Adverb,특히/Adverb,앙/Adverb,버터/Noun,버터/Noun,맛/Noun,없다/Adjective,그냥/Noun,팥/Noun,맛/Noun,안/Noun,나/Noun,시장/Noun,너츠/Noun,똑같다/Adjective,듯/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,줄/Noun,서서/Noun,먹다/Verb,곳/Noun,아니다/Adjective,오다/Verb,틀리다/Verb,매우/Noun,불만족/Noun,가다/Verb,성비/Noun,최악/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,비싸다/Adjective,시장/Noun,도넛/Noun,말/Noun,딱이다/Adjective,생각/Noun,드네/Noun,사람/Noun,다르다/Adjective,전/Noun,그렇게/Adverb,맛있다/Adjective,도넛/Noun,모르다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,주말/Noun,앉다/Verb,먹기/Noun,어려움/Noun,근데/Adverb,도넛/Noun,포함/Noun,모든/Noun,디저트/Noun,맛있다/Adjective,가게/Noun,되다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,좋다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,평범하다/Adjective,맛/Noun,그리고/Conjunction,애견/Noun,동반/Noun,면서/Noun,바/Noun,테이블/Noun,앉다/Verb,요/Noun,그렇다/Adjective,강아지/Noun,어디/Noun,두/Noun,건지다/Verb,내/Noun,엉덩이/Noun,올/Modifier,리기/Noun,힘드다/Adjective,엄청/Adverb,좁다/Adjective,의자/Noun,그리고/Conjunction,매우/Noun,높다/Adjective,테이블/Noun,흠/Noun,애견/Noun,동반/Noun,시/Noun,앉다/Verb,수/Noun,있다/Adjective,테이블/Noun,제한/Noun,되어다/Verb,있다/Adjective,설사/Noun,자리/Noun,있다/Adjective,다른/Noun,손님/Noun,옆/Noun,앉다/Verb,있다/Adjective,못/Noun,앉다/Verb,함/Noun,,,,,,,,,,,,,,,,,,,,,,,,,
75,크림/Noun,커스터드/Noun,인생/Noun,커스터드/Noun,엄청/Adverb,부드럽다/Adjective,맛/Noun,요/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,오다/Verb,맛있다/Adjective,일단/Noun,엄청/Adverb,단도/Noun,노츠/Noun,생각/Noun,하다/Verb,들다/Verb,안/Noun,돼다/Verb,마/Noun,일드/Noun,맛/Noun,맛있다/Adjective,맛/Noun,담다/Verb,있다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,종류/Noun,정도/Noun,먹다/Verb,그냥/Noun,그냥/Noun,별로/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,초코/Noun,푸딩/Noun,라즈베리/Noun,도넛/Noun,존/Noun,만/Noun,입/Noun,먹다/Verb,행복하다/Adjective,맛/Noun,도넛/Noun,별로/Noun,안/Noun,좋아하다/Adjective,여기/Noun,도넛/Noun,진짜/Noun,맛있다/Adjective,크리스마스/Noun,귀엽다/Adjective,꾸미다/Verb,놓다/Verb,더/Noun,기분/Noun,좋다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,도넛/Noun,메인/Noun,솔직하다/Adjective,기대/Noun,이/Noun,하다/Verb,비싸다/Adjective,시장/Noun,도넛/Noun,커피/Noun,다른/Noun,디저트/Noun,먹다/Verb,만/Modifier,한/Modifier,데/Noun,산/Noun,공원/Noun,오다/Verb,굳이/Noun,갈다/Verb,만/Noun,장소/Noun,의문/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,의문/Noun,평점/Noun,도넛/Noun,맛/Noun,집/Noun,넛/Noun,맛있다/Adjective,보다/Verb,먹다/Verb,보다/Verb,그냥/Noun,평범/Noun,얼그레이/Noun,케이크/Noun,진짜/Noun,너/Noun,맛/Noun,옆/Noun,테이블/Noun,케이크/Noun,다/Adverb,남다/Verb,가다/Verb,남기다/Verb,이유/Noun,있다/Adjective,그리고/Conjunction,주방/Noun,보이다/Verb,스텝/Noun,중/Noun,여드름/Noun,지성/Noun,기름기/Noun,있다/Adjective,피부/Noun,남자/Noun,손/Noun,얼굴/Noun,막/Noun,벅벅/Noun,오래/Adverb,긁다/Verb,그/Noun,손/Noun,다시/Noun,케이크/Noun,상자/Noun,접다/Verb,작업/Noun,하다/Verb,걸/Noun,보고/Noun,개인/Noun,비위/Noun,,,,,,,,,,,,,,,,,,,
81,사람/Noun,많다/Adjective,맛있다/Adjective,인테리어/Noun,패키지/Noun,디자인/Noun,예쁘다/Adjective,종종/Noun,가다/Verb,싶다/Verb,카페/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
